�ния в крови меди;R79.0;47831
10053984;Отторжение части трансплантата органа;T86.9;54045
10053985;Отторжение язвы;L98.4;54046
10053986;Отучение от дыхательного аппарата;Z51.8;54047
10053987;Отучение от дыхательного аппарата механическое;Z51.8;54048
10053988;Отучение от респиратора;Z51.8;54049
10053989;Отучение от респиратора механическое;Z51.8;54050
10053990;Отчуждение;Z63.5;54051
10053991;Отчуждение членов семьи;Z63.5;54052
10053992;Офтальмия;H10.9;54053
10053993;Офтальмия аллергическая;H10.1;54054
10053994;Офтальмия аллергическая острая;H10.1;54055
10053995;Офтальмия бленнорейная;A54.3;54056
10053996;Офтальмия бленнорейная новорожденного;A54.3;54057
10053997;Офтальмия весенняя;H10.1;54058
10053998;Офтальмия вследствие воздействия УФ лучей;H16.1;54059
10053999;Офтальмия гнойная;H10.0;54060
10054000;Офтальмия гонококковая;A54.3;54061
10054001;Офтальмия гонококковая новорожденного;A54.3;54062
10054002;Офтальмия дифтерийная;A36.8;54063
10054003;Офтальмия египетская;A71.1;54064
10054004;Офтальмия катаральная;H10.2;54065
10054005;Офтальмия метастатическая;H44.0;54066
10054006;Офтальмия новорожденного;P39.1;54067
10054007;Офтальмия новорожденного гонококковая;A54.3;54068
10054008;Офтальмия нодозная;H16.2;54069
10054009;Офтальмия симпатическая;H44.1;54070
10054010;Офтальмия электрическая;H16.1;54071
10054011;Офтальмонейромиелит;G36.0;54072
10054012;Офтальмопатия сифилитическая;A52.7;54073
10054013;Офтальмопатия сифилитическая врожденная поздняя;A50.3;54074
10054014;Офтальмопатия сифилитическая врожденная ранняя;A50.0;54075
10054015;Офтальмопатия сифилитическая поздняя;A52.7;54076
10054016;Офтальмопатия сифилитическая ранняя;A51.4;54077
10054017;Офтальмопатия сифилитическая ранняя вторичная;A51.4;54078
10054018;Офтальмоплегия;H49.9;54079
10054019;Офтальмоплегия внешняя;H49.8;54080
10054020;Офтальмоплегия внутренняя;H52.5;54081
10054021;Офтальмоплегия внутренняя общая;H52.5;54082
10054022;Офтальмоплегия внутренняя полная;H52.5;54083
10054023;Офтальмоплегия внутриядерная;H51.2;54084
10054024;Офтальмоплегия диабетическая;E14.3;54085
10054025;Офтальмоплегия надъядерная прогрессирующая;G23.1;54086
10054026;Офтальмоплегия общая;H49.3;54087
10054027;Офтальмоплегия общая наружная;H49.3;54088
10054028;Офтальмоплегия Парино;H49.8;54089
10054029;Офтальмоплегия при мигрени;G43.8;54090
10054030;Офтальмоплегия прогрессирующая наружная;H49.4;54091
10054031;Охары болезнь;A21.9;54092
10054032;Охлофобия;F40.0;54093
10054033;Охриплость;R49.0;54094
10054034;Охроноз;E70.2;54095
10054035;Охроноз с хлоазмой века;E70.2;54096
10054036;Охроноз эндогенный;E70.2;54097
10054037;Охроноз эндогенный с хлоазмой века;E70.2;54098
10054038;"Ощущение ""ползания мурашек""";R20.2;54099
10054039;"Ощущение покалывания ""булавками и иголками"" в коже";R20.2;54100
10054040;Ощущение покалывания в коже;R20.2;54101
10054041;Ощущение сердцебиения;R00.2;54102
10054042;Ощущение удушья;R06.8;54103
10054043;Падение повторные;R29.6;54104
10054044;Пазини-Пьерини атрофодермия;L90.3;54105
10054045;Пайла синдром;Q78.5;54106
10054046;Пакстона болезнь;B36.8;54107
10054047;Палатоплегия;K13.7;54108
10054048;Палатосхизис;Q35.9;54109
10054049;Палец в виде барабанной палочки;R68.3;54110
10054050;Палец в виде барабанной палочки врожденный;Q68.1;54111
10054051;Палилалия;R48.8;54112
10054052;Паллиативная помощь;Z51.5;54113
10054053;Пальцы в виде барабанных палочек;R68.3;54114
10054054;Пальцы в виде барабанных палочек врожденные;Q68.1;54115
10054055;Памяти отсутствие;R41.3;54116
10054056;Памяти потеря;R41.3;54117
10054057;Памяти потеря легкая, после органического повреждения головного мозга;F06.7;54118
10054058;Памяти расстройство;R41.3;54119
10054059;Памяти расстройство легкое, после органического повреждения головного мозга;F06.7;54120
10054060;Панангиит;M30.0;54121
10054061;Панариций;L03.0;54122
10054062;Панариций герпесвирусный;B00.8;54123
10054063;Панариций с лимфангиитом;L03.0;54124
10054064;Панариций с лимфангиитом герпесвирусный;B00.8;54125
10054065;Панартериит;M30.0;54126
10054066;Панартериит головного мозга;I67.7;54127
10054067;Панартериит узелковый;M30.0;54128
10054068;Панартериит церебральный;I67.7;54129
10054069;Панвальвулярная болезнь;I08.9;54130
10054070;Панвальвулярная болезнь уточненная;I08.8;54131
10054071;Пангематопения;D61.9;54132
10054072;Пангематопения конституциональная;D61.0;54133
10054073;Пангематопения селезеночная первичная;D73.1;54134
10054074;Пангемоцитопения;D61.9;54135
10054075;Пангемоцитопения конституциональная;D61.0;54136
10054076;Пангипопитуитаризм;E23.0;54137
10054077;Пангипопитуитаризм препубертатный;E23.0;54138
10054078;Паническая реакция на экстремальную ситуацию;F43.0;54139
10054079;Паническая реакция на экстремальную ситуацию преходящая;F43.0;54140
10054080;Панический приступ;F41.0;54141
10054081;Паническое состояние;F41.0;54142
10054082;Панкардит;I51.8;54143
10054083;Панкардит активный;I01.8;54144
10054084;Панкардит острый;I51.8;54145
10054085;Панкардит ревматический;I09.8;54146
10054086;Панкардит хронический;I51.8;54147
10054087;Панколит язвенный;K51.0;54148
10054088;Панколит язвенный хронический;K51.0;54149
10054089;Панкоста опухоль;C34.1;54150
10054090;Панкоста синдром;C34.1;54151
10054091;Панкреатит;K85.9;54152
10054092;Панкреатит интерстициальный;K86.1;54153
10054093;Панкреатит интерстициальный хронический;K86.1;54154
10054094;Панкреатит кистозный;K86.2;54155
10054095;Панкреатит кистозный хронический;K86.2;54156
10054096;Панкреатит острый алкогольный;K85.2;54157
10054097;Панкреатит острый билиарный;K85.1;54158
10054098;Панкреатит острый желчнокаменный;K85.1;54159
10054099;Панкреатит острый идиопатический;K85.0;54160
10054100;Панкреатит острый лекарственный;K85.3;54161
10054101;Панкреатит острый уточненный;K85.8;54162
10054102;Панкреатит повторяющийся хронический;K86.1;54163
10054103;Панкреатит при эпидемическом паротите;B26.3;54164
10054104;Панкреатит рецидивирующий;K86.1;54165
10054105;Панкреатит рецидивирующий хронический;K86.1;54166
10054106;Панкреатит сифилитический;A52.7;54167
10054107;Панкреатит фиброзный;K86.1;54168
10054108;Панкреатит фиброзный хронический;K86.1;54169
10054109;Панкреатит хронический;K86.1;54170
10054110;Панкреатит хронический алкогольной этиологии;K86.0;54171
10054111;Панкреатит хронический инфекционный;K86.1;54172
10054112;Панкреатит хронический повторяющийся;K86.1;54173
10054113;Панкреатит хронический рецидивирующий;K86.1;54174
10054114;Панкреатит цитомегаловирусный;B25.2;54175
10054115;Панкреолитиаз;K86.8;54176
10054116;Панмиелоз;C94.4;54177
10054117;Панмиелоз острый;C94.4;54178
10054118;Панмиелоз с миелофиброзом острый;C94.4;54179
10054119;Панмиэлофтиз;D61.9;54180
10054120;Панневрит эндемический;E51.1;54181
10054121;Паннера болезнь;M92.0;54182
10054122;Панникулит;M79.3;54183
10054123;Панникулит волчаночный;L93.2;54184
10054124;Панникулит крестцовый;M54.0;54185
10054125;Панникулит рецидивирующий узловатый негнойный;M79.3;54186
10054126;Панникулит спины;M54.0;54187
10054127;Панникулит шеи;M54.0;54188
10054128;Панникулус жировой;E65;54189
10054129;Панникулус жировой брюшной;E65;54190
10054130;Паннус;H16.4;54191
10054131;Паннус аллергический;H16.4;54192
10054132;Паннус дегенеративный;H16.4;54193
10054133;Паннус роговицы;H16.4;54194
10054134;Паннус роговой;H16.4;54195
10054135;Паннус трахоматозный;A71.1;54196
10054136;Паннус трахоматозный активный;A71.1;54197
10054137;Панофтальмит;H44.0;54198
10054138;Пансинусит;J01.8;54199
10054139;Пансинусит гиперпластический;J32.4;54200
10054140;Пансинусит гнойный;J32.4;54201
10054141;Пансинусит негнойный;J32.4;54202
10054142;Пансинусит острый;J01.4;54203
10054143;Пансинусит туберкулезный;A16.8;54204
10054144;Пансинусит туберкулезный с бактериологическим и гистологическим подтверждением;A15.8;54205
10054145;Пансинусит хронический;J32.4;54206
10054146;Панувеит;H44.1;54207
10054147;Панувеит симпатический;H44.1;54208
10054148;Панцитолиз;D75.8;54209
10054149;Панцитопения;D61.9;54210
10054150;Панцитопения врожденная;D61.0;54211
10054151;Панцитопения приобретенная;D61.9;54212
10054152;Панцитопения с пороками развития;D61.0;54213
10054153;Панэнцефалит подострый склерозирующий;A81.1;54214
10054154;Папийон-Леажа-Псома синдром;Q87.0;54215
10054155;Папиллит;H46;54216
10054156;Папиллит заднего прохода;K62.8;54217
10054157;Папиллит зрительного нерва;H46;54218
10054158;Папиллит прямой кишки;K62.8;54219
10054159;Папиллит языка;K14.0;54220
10054160;Папиллома базальноклеточная;L82;54221
10054161;Папиллома мочевого пузыря;D41.4;54222
10054162;Папиллома мочевого пузыря доброкачественная;D30.3;54223
10054163;Папиллома мочевого пузыря переходно-клеточная;D41.4;54224
10054164;Папиллома мочеточника;D41.2;54225
10054165;Папиллома мочеточника доброкачественная;D30.2;54226
10054166;Папиллома мочеточника переходно-клеточная;D41.2;54227
10054167;Папиллома остроконечная;A63.0;54228
10054168;Папиллома остроконечная аногенитальная;A63.0;54229
10054169;Папиллома остроконечная у женщин;A63.0;54230
10054170;Папиллома остроконечная у мужчин;A63.0;54231
10054171;Папиллома переходно-клеточная мочевого пузыря;D41.4;54232
10054172;Папиллома переходно-клеточная мочеточника;D41.2;54233
10054173;Папиллома переходно-клеточная почечной лоханки;D41.1;54234
10054174;Папиллома почечной лоханки;D41.1;54235
10054175;Папиллома почечной лоханки доброкачественная;D30.1;54236
10054176;Папиллома почечной лоханки переходно-клеточная;D41.1;54237
10054177;Папиллома серозная поверхностная неуточненной локализации;D27;54238
10054178;Папиллома серозная поверхностная пограничной злокачественности неуточненной локализации;D39.1;54239
10054179;Папиллома сосудистого сплетения;D33.0;54240
10054180;Папиллома сосудистого сплетения анапластическая;C71.5;54241
10054181;Папиллома сосудистого сплетения бокового желудочка;D33.0;54242
10054182;Папиллома сосудистого сплетения злокачественная;C71.5;54243
10054183;Папиллома сосудистого сплетения третьего желудочка;D33.0;54244
10054184;Папиллома сосудистого сплетения четвертого желудочка;D33.1;54245
10054185;Папиллома фрамбезийная ладонная;A66.1;54246
10054186;Папиллома фрамбезийная подошвенная;A66.1;54247
10054187;Папиллома шнейдерова неуточненной локализации;D14.0;54248
10054188;Папилломатоз кистозный молочной железы;N60.1;54249
10054189;Папилломатоз сливной и сетчатый;L83;54250
10054190;Папилломатоз субареолярный протоковый;D24;54251
10054191;Папула;R23.8;54252
10054192;Папула Готтрона;L94.4;54253
10054193;Папула при карате;A67.0;54254
10054194;Папула при карате первичная;A67.0;54255
10054195;Папула при пинте;A67.0;54256
10054196;Папула при пинте первичная;A67.0;54257
10054197;Папула фиброзная носа;D22.3;54258
10054198;Папулез лимфоматоидный;C86.6;54259
10054199;Параальбуминемия;E88.0;54260
10054200;Паравагинит;N76.0;54261
10054201;Паравакциния;B08.0;54262
10054202;Параганглиома аортального гломуса;D44.7;54263
10054203;Параганглиома аортального гломуса злокачественная;C75.5;54264
10054204;Параганглиома вненадпочечниковая злокачественная неуточненной локализации;C75.5;54265
10054205;Параганглиома вненадпочечниковая неуточненной локализации;D44.7;54266
10054206;Параганглиома ганглиоцитарная неуточненной локализации;D13.2;54267
10054207;Параганглиома злокачественная неуточненной локализации;C75.5;54268
10054208;Параганглиома каротидного гломуса;D44.6;54269
10054209;Параганглиома надпочечниковая;D35.0;54270
10054210;Параганглиома неуточненной локализации;D44.7;54271
10054211;Параганглиома нехромаффинная неуточненной локализации;C75.5;54272
10054212;Параганглиома парасимпатическая неуточненной локализации;D44.7;54273
10054213;Параганглиома симпатическая неуточненной локализации;D44.7;54274
10054214;Параганглиома югулярного гломуса;D44.7;54275
10054215;Парагевзия;R43.2;54276
10054216;Парагевзия психогенная;F45.8;54277
10054217;Парагемофилия;D68.2;54278
10054218;Парагонимоз;B66.4;54279
10054219;Парагранулема нодулярная;C81.0;54280
10054220;Парагранулема Ходжкина;C81.0;54281
10054221;Паразитизм;B89;54282
10054222;Паразитизм кишечный;B82.9;54283
10054223;Паразитизм кожи;B88.9;54284
10054224;Паразитический близнец;Q89.4;54285
10054225;Паразитофобия;F40.2;54286
10054226;Паракератоз;R23.4;54287
10054227;Паракератоз атрофический;L41.0;54288
10054228;Паракокцидиомикоз;B41.9;54289
10054229;Паракокцидиомикоз висцеральный;B41.8;54290
10054230;Паракокцидиомикоз генерализованный;B41.7;54291
10054231;Паракокцидиомикоз диссеминированный;B41.7;54292
10054232;Паракокцидиомикоз легочный;B41.0;54293
10054233;Паракокцидиомикоз слизисто-кожно-лимфангитический;B41.8;54294
10054234;Паракокцидиомикоз уточненный;B41.8;54295
10054235;Паралитическая амиотрофия;G12.2;54296
10054236;Паралитическая деменция;A52.1;54297
10054237;Паралитическая кишечная непроходимость;K56.0;54298
10054238;Паралитическая походка;R26.1;54299
10054239;Паралитический инсульт;I64;54300
10054240;Паралитический инсульт текущий случай;I64;54301
10054241;Паралитический синдром;G83.9;54302
10054242;Паралитический синдром уточненный;G83.8;54303
10054243;Паралич;G83.9;54304
10054244;Паралич аккомодации;H52.5;54305
10054245;Паралич аккомодации истерический;F44.8;54306
10054246;Паралич аксиллярный;G54.0;54307
10054247;Паралич альтернирующий;G83.8;54308
10054248;Паралич альтернирующий глазодвигательный;G83.8;54309
10054249;Паралич ассоциированный;G12.2;54310
10054250;Паралич атаксический;G11.9;54311
10054251;Паралич атаксический наследственный;G11.9;54312
10054252;Паралич атаксический общий;A52.1;54313
10054253;Паралич атаксический общий сифилитический;A52.1;54314
10054254;Паралич атрофический;G58.9;54315
10054255;Паралич атрофический детский острый;A80.3;54316
10054256;Паралич атрофический диффузный;G12.2;54317
10054257;Паралич атрофический диффузный прогрессирующий;G12.2;54318
10054258;Паралич атрофический прогрессирующий;G12.2;54319
10054259;Паралич атрофический спинальный;A80.3;54320
10054260;Паралич атрофический спинальный острый;A80.3;54321
10054261;Паралич Белла;G51.0;54322
10054262;Паралич Бенедикта;I67.8;54323
10054263;Паралич блоковидного нерва;H49.1;54324
10054264;Паралич блоковидного нерва у новорожденного;P14.9;54325
10054265;Паралич блоковидного нерва у новорожденного родовая травма;P14.9;54326
10054266;Паралич блокового нерва;H49.1;54327
10054267;Паралич боковой;G12.2;54328
10054268;Паралич бронха;J98.0;54329
10054269;Паралич Броуна-Секара;G83.8;54330
10054270;Паралич бульбарный;G12.2;54331
10054271;Паралич бульбарный детский;A80.3;54332
10054272;Паралич бульбарный ложный;G12.2;54333
10054273;Паралич бульбарный надъядерный;G12.2;54334
10054274;Паралич бульбарный полиомиелитный;A80.3;54335
10054275;Паралич бульбарный прогрессирующий;G12.2;54336
10054276;Паралич бульбарный хронический;G12.2;54337
10054277;Паралич вазомоторный;G90.8;54338
10054278;Паралич Вебера;I67.8;54339
10054279;Паралич верхней конечности;G83.2;54340
10054280;Паралич взора;H51.0;54341
10054281;Паралич внутренней глазной мышцы;H52.5;54342
10054282;Паралич внутренней мышцы глаза;H52.5;54343
10054283;Паралич внутриядерный;H51.2;54344
10054284;Паралич водолазов;T70.3;54345
10054285;Паралич восходящий острый;G61.0;54346
10054286;Паралич восходящий спинальный острый;G61.0;54347
10054287;Паралич всех четырех конечностей;G82.5;54348
10054288;Паралич вследствие родовой травмы;P14.9;54349
10054289;Паралич глазной;H49.9;54350
10054290;Паралич глазной мышцы;H49.9;54351
10054291;Паралич глазодвигательного нерва;H49.0;54352
10054292;Паралич глазодвигательный;H49.9;54353
10054293;Паралич глотания;R13;54354
10054294;Паралич глотания истерический;F44.4;54355
10054295;Паралич глотки;J39.2;54356
10054296;Паралич глотки дифтерийный;A36.0;54357
10054297;Паралич голосовых складок;J38.0;54358
10054298;Паралич гортани;J38.0;54359
10054299;Паралич гортани дифтерийный;A36.2;54360
10054300;Паралич гортани дифтерийный токсический;A36.2;54361
10054301;Паралич гортанного нерва;J38.0;54362
10054302;Паралич гортанного нерва верхний;J38.0;54363
10054303;Паралич гортанного нерва двусторонний;J38.0;54364
10054304;Паралич гортанного нерва односторонний;J38.0;54365
10054305;Паралич гортанного нерва рецидивирующий;J38.0;54366
10054306;Паралич грудино-сосцевидной мышцы;G52.8;54367
10054307;Паралич губо-язычный;G12.2;54368
10054308;Паралич губо-язычный глоточный;G12.2;54369
10054309;Паралич губо-язычный гортанный;G12.2;54370
10054310;Паралич губы;K13.0;54371
10054311;Паралич Гюблера-Миллара;I63.2;54372
10054312;Паралич двигательный;G83.9;54373
10054313;Паралич детский;A80.3;54374
10054314;Паралич детский бульбарный;A80.3;54375
10054315;Паралич диафрагмального нерва;P14.2;54376
10054316;Паралич диафрагмального нерва вследствие родовой травмы;P14.2;54377
10054317;Паралич диафрагмального нерва как родовая травма;P14.2;54378
10054318;Паралич диафрагмы;J98.6;54379
10054319;Паралич диафрагмы вследствие случайного рассечения диафрагмального нерва во время процедуры;T81.2;54380
10054320;Паралич диафрагмы вялый;J98.6;54381
10054321;Паралич дивергенции;H51.8;54382
10054322;Паралич дивергенции ядерный;H51.8;54383
10054323;Паралич дрожательный;G20;54384
10054324;Паралич дрожательный артериосклеротический;G21.4;54385
10054325;Паралич дрожательный атеросклеротический;G21.8;54386
10054326;Паралич дыхательного центра;G93.8;54387
10054327;Паралич дыхательных мышц;R06.8;54388
10054328;Паралич Дюшенна;G12.2;54389
10054329;Паралич Дюшенна вследствие родовой травмы;P14.0;54390
10054330;Паралич желудка;K31.8;54391
10054331;Паралич заднего прохода;K62.8;54392
10054332;Паралич зева;J39.2;54393
10054333;Паралич инфекционный;A80.3;54394
10054334;Паралич истерический;F44.4;54395
10054335;Паралич ишемический Фолькманна;T79.6;54396
10054336;Паралич ишемический Фолькманна осложняющий травму;T79.6;54397
10054337;Паралич квадриплегический;G82.5;54398
10054338;Паралич кисти;G83.2;54399
10054339;Паралич кисти истерический;F44.4;54400
10054340;Паралич кисти психогенный;F44.4;54401
10054341;Паралич кишечника;K56.0;54402
10054342;Паралич Клюмпке-Дежерина;P14.1;54403
10054343;Паралич Клюмпке-Дежерина вследствие родовой травмы;P14.1;54404
10054344;Паралич Клюмпке-Дежерина новорожденного;P14.1;54405
10054345;Паралич конвергенции;H51.1;54406
10054346;Паралич конечности;G83.3;54407
10054347;Паралич конечности преходящий;R29.8;54408
10054348;Паралич конечности преходящий неизвестного происхождения;R29.8;54409
10054349;Паралич косой мышцы глаза;H49.1;54410
10054350;Паралич Ландри;G61.0;54411
10054351;Паралич Лиссауэра;A52.1;54412
10054352;Паралич лицевого нерва;G51.0;54413
10054353;Паралич лицевого нерва вследствие родовой травмы;P11.3;54414
10054354;Паралич лицевого нерва связанный с поражением верхнего двигательного нейрона;G83.6;54415
10054355;Паралич лицевого нерва связанный с центральным поражением;G83.6;54416
10054356;Паралич лицевого нерва у новорожденного;P11.3;54417
10054357;Паралич лицевого нерва у новорожденного вследствие родовой травмы;P11.3;54418
10054358;Паралич лицевого нерва у новорожденного родовая травма;P11.3;54419
10054359;Паралич локтевого нерва;G56.2;54420
10054360;Паралич локтевого нерва поздний;G56.2;54421
10054361;Паралич лучевого нерва;G83.2;54422
10054362;Паралич лучевого нерва врожденный;Q87.0;54423
10054363;Паралич лучевого нерва врожденный наружный двусторонний;H49.0;54424
10054364;Паралич лучевого нерва вследствие родовой травмы;P14.3;54425
10054365;Паралич лучевого нерва острый;G56.3;54426
10054366;Паралич лучевого нерва у новорожденного;P14.3;54427
10054367;Паралич малоберцового нерва;G57.3;54428
10054368;Паралич малоберцового нерва острый;G57.3;54429
10054369;Паралич малоберцового нерва поздний;G57.3;54430
10054370;Паралич Мебиуса;Q87.0;54431
10054371;Паралич мезенцефальный;G83.8;54432
10054372;Паралич мезенцефальный покровный;G83.8;54433
10054373;Паралич Миллара-Гюблера-Фовилля;I63.2;54434
10054374;Паралич мозговой покровный;G83.8;54435
10054375;Паралич мочевого пузыря;N31.2;54436
10054376;Паралич мочевого пузыря неврогенный;N31.2;54437
10054377;Паралич мочевого пузыря послеродовой;O90.8;54438
10054378;Паралич мочевого пузыря сфинктера;N31.2;54439
10054379;Паралич мышечный;G72.8;54440
10054380;Паралич мышечный вследствие поражения нерва;G58.9;54441
10054381;Паралич мышечный прогрессирующий;G12.2;54442
10054382;Паралич мышечный псевдогипертрофический;G71.0;54443
10054383;Паралич мышц глотки;J39.2;54444
10054384;Паралич мышцы;G72.8;54445
10054385;Паралич мышцы вследствие поражения нерва;G58.9;54446
10054386;Паралич мышцы глаза;H49.9;54447
10054387;Паралич мышцы прогрессирующий;G12.2;54448
10054388;Паралич мышцы псевдогипертрофический;G71.0;54449
10054389;Паралич мышцы, поднимающей верхнее веко;H02.4;54450
10054390;Паралич мягкого неба;K13.7;54451
10054391;Паралич надъядерный;G23.1;54452
10054392;Паралич надъядерный прогрессирующий;G23.1;54453
10054393;Паралич наружной глазной мышцы;H49.9;54454
10054394;Паралич наружной мышцы глаза;H49.9;54455
10054395;Паралич неба;K13.7;54456
10054396;Паралич неполный;G83.9;54457
10054397;Паралич нерва;G58.9;54458
10054398;Паралич нерва вследствие родовой травмы;P14.9;54459
10054399;Паралич нерва уточненного;G58.8;54460
10054400;Паралич нижней конечности;G83.1;54461
10054401;Паралич нисходящий;G12.2;54462
10054402;Паралич нисходящий спинальный;G12.2;54463
10054403;Паралич ног;G83.1;54464
10054404;Паралич ног кратковременный;R29.8;54465
10054405;Паралич ног преходящий;R29.8;54466
10054406;Паралич ног психогенный;F44.4;54467
10054407;Паралич обеих верхних конечностей;G83.0;54468
10054408;Паралич обеих нижних конечностей;G82.2;54469
10054409;Паралич обеих ног;G82.2;54470
10054410;Паралич ободочной кишки;K56.0;54471
10054411;Паралич общий;A52.1;54472
10054412;Паралич общий прогрессирующий;A52.1;54473
10054413;Паралич общий сифилитический;A52.1;54474
10054414;Паралич общий юношеский;A50.4;54475
10054415;Паралич отводящего нерва;H49.2;54476
10054416;Паралич периодический;G72.3;54477
10054417;Паралич периодический гиперкалиемический;G72.3;54478
10054418;Паралич периодический гипокалиемический;G72.3;54479
10054419;Паралич периодический миотонический;G72.3;54480
10054420;Паралич периодический нормокалиемический;G72.3;54481
10054421;Паралич периодический семейный;G72.3;54482
10054422;Паралич пищевода;K22.8;54483
10054423;Паралич плечевого сплетения;G54.0;54484
10054424;Паралич плечевого сплетения вследствие родовой травмы;P14.3;54485
10054425;Паралич плечевого сплетения у новорожденного;P14.3;54486
10054426;Паралич плечевого сплетения у плода;P14.3;54487
10054427;Паралич полный;G83.9;54488
10054428;Паралич после укуса клеща;T63.4;54489
10054429;Паралич преходящий ноги;R29.8;54490
10054430;Паралич преходящий руки;R29.8;54491
10054431;Паралич преходящий травматический;T14.4;54492
10054432;Паралич при полиомиелите;A80.3;54493
10054433;Паралич при полиомиелите текущий случай;A80.3;54494
10054434;Паралич прогрессирующий;G12.2;54495
10054435;Паралич прогрессирующий атрофический;G12.2;54496
10054436;Паралич прогрессирующий бульбарный;G12.2;54497
10054437;Паралич прогрессирующий детский острый;A80.3;54498
10054438;Паралич прогрессирующий надъядерный;G23.1;54499
10054439;Паралич прогрессирующий общий;A52.1;54500
10054440;Паралич прогрессирующий спинальный;G12.2;54501
10054441;Паралич прямой мышцы глаза;H49.9;54502
10054442;Паралич псевдобульбарный;G12.2;54503
10054443;Паралич псевдогипертрофический;G71.0;54504
10054444;Паралич псевдогипертрофический мышечный;G71.0;54505
10054445;Паралич психогенный;F44.4;54506
10054446;Паралич радужной оболочки;H57.0;54507
10054447;Паралич радужной оболочки дифтерийный;A36.8;54508
10054448;Паралич радужной оболочки дифтерийный токсический;A36.8;54509
10054449;Паралич рук;G83.2;54510
10054450;Паралич рук истерический;F44.4;54511
10054451;Паралич рук обеих;G83.0;54512
10054452;Паралич рук преходящий;R29.8;54513
10054453;Паралич рук психогенный;F44.4;54514
10054454;Паралич руки;G83.2;54515
10054455;Паралич руки истерический;F44.4;54516
10054456;Паралич руки преходящий;R29.8;54517
10054457;Паралич руки психогенный;F44.4;54518
10054458;Паралич свинцовый;T56.0;54519
10054459;Паралич седьмого нерва;G51.0;54520
10054460;Паралич седьмого нерва у новорожденного;P11.3;54521
10054461;Паралич седьмого нерва у новорожденного родовая травма;P11.3;54522
10054462;Паралич семейный;G72.3;54523
10054463;Паралич семейный периодический;G72.3;54524
10054464;Паралич семейный рецидивирующий;G72.3;54525
10054465;Паралич семейный спастический;G11.4;54526
10054466;Паралич сердца;I46.9;54527
10054467;Паралич Сестана-Шене;I63.0;54528
10054468;Паралич симпатический;G90.8;54529
10054469;Паралич симпатический шейный;G90.2;54530
10054470;Паралич сифилитический спастический спинальный;A52.1;54531
10054471;Паралич сифилитический спастический спинальный Эрба;A52.1;54532
10054472;Паралич собственно голосового аппарата;J38.0;54533
10054473;Паралич сопряженного движения глаз;H51.0;54534
10054474;Паралич сопряженного движения глаз корковый;H51.0;54535
10054475;Паралич сопряженного движения глаз надъядерный;H51.0;54536
10054476;Паралич сопряженного движения глаз ядерный;H51.0;54537
10054477;Паралич спастический;G83.9;54538
10054478;Паралич спастический наследственный;G11.4;54539
10054479;Паралич спастический не врожденный;G83.9;54540
10054480;Паралич спастический не врожденный церебральный;G83.9;54541
10054481;Паралич спастический не детский;G83.9;54542
10054482;Паралич спастический не детский и не врожденный церебральный;G83.9;54543
10054483;Паралич спастический не детский церебральный;G83.9;54544
10054484;Паралич спастический семейный;G11.4;54545
10054485;Паралич спастический сифилитический;A52.1;54546
10054486;Паралич спастический сифилитический спинальный;A52.1;54547
10054487;Паралич спинальный;G83.8;54548
10054488;Паралич спинальный атрофический;A80.3;54549
10054489;Паралич спинальный атрофический острый;A80.3;54550
10054490;Паралич спинальный атрофический спастический сифилитический;A52.1;54551
10054491;Паралич спинальный восходящий острый;G61.0;54552
10054492;Паралич спинальный детский;A80.3;54553
10054493;Паралич спинальный острый;A80.3;54554
10054494;Паралич спинальный прогрессивный;G12.2;54555
10054495;Паралич срединного нерва;G56.1;54556
10054496;Паралич срединного нерва поздний;G56.1;54557
10054497;Паралич старческий;G83.9;54558
10054498;Паралич сфинктера заднего прохода;K62.8;54559
10054499;Паралич сфинктера мочевого пузыря;N31.2;54560
10054500;Паралич типа Шарко-Мари-Тута;G60.0;54561
10054501;Паралич Тодда;G83.8;54562
10054502;Паралич токсический пищевой;T62.2;54563
10054503;Паралич тонкой кишки;K56.0;54564
10054504;Паралич травматический преходящий;T14.4;54565
10054505;Паралич трапециевидной мышцы;G52.8;54566
10054506;Паралич третьего нерва;H49.0;54567
10054507;Паралич увеопаротитный;D86.8;54568
10054508;Паралич уремический;N18.5;54569
10054509;Паралич Фацио-Лонде;G12.1;54570
10054510;Паралич Фолькманна;T79.6;54571
10054511;Паралич Фолькманна, осложняющий травму;T79.6;54572
10054512;Паралич церебральный;G80.9;54573
10054513;Паралич церебральный атактический;G80.4;54574
10054514;Паралич церебральный атетоидный;G80.3;54575
10054515;Паралич церебральный врожденный;G80.9;54576
10054516;Паралич церебральный гемиплегический;G80.8;54577
10054517;Паралич церебральный гемиплегический спастический;G80.2;54578
10054518;Паралич церебральный диплегический;G80.8;54579
10054519;Паралич церебральный диплегический спастический;G80.1;54580
10054520;Паралич церебральный дискинетический;G80.3;54581
10054521;Паралич церебральный квадриплегический;G80.8;54582
10054522;Паралич церебральный квадриплегический спастический;G80.0;54583
10054523;Паралич церебральный моноплегический;G80.8;54584
10054524;Паралич церебральный моноплегический спастический;G80.1;54585
10054525;Паралич церебральный неврожденный острый;I64;54586
10054526;Паралич церебральный параплегический;G80.8;54587
10054527;Паралич церебральный параплегический спастический;G80.1;54588
10054528;Паралич церебральный сифилитический;A52.1;54589
10054529;Паралич церебральный сифилитический врожденный;A50.4;54590
