 хромосом амниотической жидкости;R89.8;20571
10026353;Кольцо Бандля, влияние на плод;P03.6;26396
10026354;Кольцо девственной плевы тугое;N89.6;26397
10026355;Кольцо Земмерринга;H26.4;26398
10026356;Кольцо Кайзера-Флейшера;H18.0;26399
10026357;Кольцо контракционное, осложняющее родоразрешение;O62.4;26400
10026358;Кольцо контракционное, осложняющее родоразрешение, влияние на новорожденного;P03.6;26401
10026359;Кольцо контракционное, осложняющее родоразрешение, влияние на плод;P03.6;26402
10026360;Кольцо нижнего отдела пищевода;K22.4;26403
10026361;Кольцо пищевода;K22.4;26404
10026362;Кольцо ретракционное матки;O62.4;26405
10026363;Кольцо ретракционное матки патологическое;O62.4;26406
10026364;Кольцо ретракционное матки, влияние на новорожденного;P03.6;26407
10026365;Кольцо ретракционное матки, влияние на плод;P03.6;26408
10026366;Кольцо сосудистое;Q25.8;26409
10026367;Кольцо сосудистое аорты;Q25.4;26410
10026368;Кольцо сосудистое врожденное;Q25.8;26411
10026369;Кольцо Флейшера;E83.0;26412
10026370;Кольцо Шацкого;K22.4;26413
10026371;Кольцо Шацкого врожденное;Q39.8;26414
10026372;Кома;R40.2;26415
10026373;Кома апоплексическая;I64;26416
10026374;Кома гипергликемическая;E14.0;26417
10026375;Кома гипергликемическая диабетическая;E14.0;26418
10026376;Кома гиперосмолярная;E14.0;26419
10026377;Кома гиперосмолярная диабетическая;E14.0;26420
10026378;Кома гипогликемическая;E15;26421
10026379;Кома гипогликемическая недиабетическая;E15;26422
10026380;Кома инсулиновая недиабетическая, вызванная приемом лекарственного средства;E15;26423
10026381;Кома микседематозная;E03.5;26424
10026382;Кома новорожденного;P91.5;26425
10026383;Кома печеночная;K72.9;26426
10026384;Кома продолжительная, связанная с внутричерепной травмой;S06.7;26427
10026385;Кома уремическая;N19;26428
10026386;Кома эклампсическая;R56.8;26429
10026387;Кома эпилептическая;G40.8;26430
10026388;Коматозное состояние;R40.2;26431
10026389;Комедокарцинома неинфильтрирующая молочной железы;D05.7;26432
10026390;Комедокарцинома неинфильтрирующая неуточненной локализации;D05.7;26433
10026391;Комедомастит;N60.4;26434
10026392;Комедоны;L70.0;26435
10026393;Комедоны гигантские;L70.0;26436
10026394;Коммуникация между левым желудочком и правым предсердием;Q20.5;26437
10026395;Коммуникация между легочной артерией и легочной веной врожденное;Q25.7;26438
10026396;Коммуникация между маткой и мочевым трактом врожденное;Q51.7;26439
10026397;Коммуникация между маткой и пищеварительным трактом врожденное;Q51.7;26440
10026398;Коммуникация между основанием аорты и легочной артерией;Q21.4;26441
10026399;Коммуникация между перикардиальным мешком и плевральным мешком;Q34.8;26442
10026400;Компенсаторный невроз;F68.0;26443
10026401;Компенсаторный психоневроз;F68.0;26444
10026402;Комплекс Аддисона-Шильдера;E71.3;26445
10026403;Комплекс гиперсексуальный;F52.7;26446
10026404;Комплекс Костена;K07.6;26447
10026405;Комплекс первичный туберкулезный;A16.7;26448
10026406;Комплекс первичный туберкулезный, подвержденный бактериологически;A15.7;26449
10026407;Комплекс первичный туберкулезный, подвержденный гистологически;A15.7;26450
10026408;Комплекс подвывиховый;M99.1;26451
10026409;Комплекс подвывиховый вертебральный;M99.1;26452
10026410;Комплекс сердечно-почечный;I13.9;26453
10026411;Комплекс Тауссига-Бинга;Q20.1;26454
10026412;Комплекс Шильдера-Аддисона;E71.3;26455
10026413;Комплекс Эйзенменгера;I27.8;26456
10026414;Комплексный регионарный болевой синдром;G90.7;26457
10026415;Комплексный регионарный болевой синдром I типа;G90.5;26458
10026416;Комплексный регионарный болевой синдром II типа;G90.6;26459
10026417;Комплексный регионарный болевой синдром другой;G90.7;26460
10026418;Комплексный регионарный болевой синдром неуточненный;G90.7;26461
10026419;Компрессионно-воздушная болезнь;T70.3;26462
10026420;Компрессия как родовая травма головного мозга;P11.2;26463
10026421;Конверсионная истерия;F44.9;26464
10026422;Конверсионная реакция;F44.9;26465
10026423;Конверсионный невроз;F44.9;26466
10026424;Кондилома;A63.0;26467
10026425;Кондилома венерическая сифилитическая;A51.3;26468
10026426;Кондилома гонорейная;A54.0;26469
10026427;Кондилома остроконечная;A63.0;26470
10026428;Кондилома сифилитическая;A51.3;26471
10026429;Кондилома сифилитическая врожденная;A50.0;26472
10026430;Кондилома широкая;A51.3;26473
10026431;Коническая роговая оболочка;H18.6;26474
10026432;Коническая шейка матки;N88.4;26475
10026433;Коническая шейка матки гипертрофически удлиненная;N88.4;26476
10026434;Конические зубы;K00.2;26477
10026435;Конкато болезнь;A19.9;26478
10026436;Конкремент аппендикулярный;K38.1;26479
10026437;Конкремент в мочеточнике;N20.1;26480
10026438;Конкремент века;H02.8;26481
10026439;Конкремент клитора;N90.8;26482
10026440;Конкремент конъюнктивы;H11.1;26483
10026441;Конкремент крайней плоти;N47;26484
10026442;Конкремент крайней плоти у мужчин;N47;26485
10026443;Конкремент миндалины;J35.8;26486
10026444;Конкремент семенного пузырька;N50.8;26487
10026445;Конкремент слезного канальца;H04.5;26488
10026446;Конкремент слезного протока;H04.5;26489
10026447;Конна синдром;E26.0;26490
10026448;Конради-Хюнерманна болезнь;Q77.3;26491
10026449;Консультация;Z71.9;26492
10026450;Консультация генетическая;Z31.5;26493
10026451;Консультация для отсутствующего третьего лица;Z71.0;26494
10026452;Консультация для отсутствующего третьего лица, касающаяся сексуального поведения;Z70.2;26495
10026453;Консультация для отсутствующего третьего лица, касающаяся сексуальной ориентации;Z70.2;26496
10026454;Консультация касающаяся здоровья;Z71.9;26497
10026455;Консультация медицинская;Z71.9;26498
10026456;Консультация медицинская в связи с жалобами, вызванными страхом болезни при отсутствии заболевания;Z71.1;26499
10026457;Консультация медицинская лица, постоянно живущего в специальном учреждении;Z59.3;26500
10026458;Консультация медицинская одинокого человека;Z60.2;26501
10026459;Консультация медицинская по вопросам восстановления детородной функции;Z31.6;26502
10026460;Консультация медицинская по вопросам кровного родства;Z71.8;26503
10026461;Консультация медицинская по вопросам наблюдения в связи с колитом;Z71.3;26504
10026462;Консультация медицинская по вопросам питания в связи с колитом;Z71.3;26505
10026463;Консультация медицинская по вопросам, связанным с вирусом иммунодефицита человека;Z71.7;26506
10026464;Консультация медицинская по вопросам, связанным с ВИЧ;Z71.7;26507
10026465;Консультация медицинская по поручению другого лица;Z71.0;26508
10026466;Консультация медицинская по поручению другого лица, касающаяся сексуального поведения;Z70.2;26509
10026467;Консультация медицинская по поручению другого лица, касающаяся сексуальной ориентации;Z70.2;26510
10026468;Консультация медицинская по уточненной причине;Z71.8;26511
10026469;Консультация медицинская при отсутствии жалоб;Z71.9;26512
10026470;Консультация медицинская при отсутствии жалоб, вызвавших страх;Z71.1;26513
10026471;Консультация медицинская при отсутствии заболевания;Z71.9;26514
10026472;Консультация медицинская при отсутствии заболевания, вызвавшего страх;Z71.1;26515
10026473;Консультация медицинская ребенка, живущего в школе-интернате;Z59.3;26516
10026474;Консультация медицинская, касающаяся промискуитета;Z70.1;26517
10026475;Консультация по поводу алкогольной зависимости;Z71.4;26518
10026476;Консультация по поводу вируса иммунодефицита человека;Z71.7;26519
10026477;Консультация по поводу ВИЧ;Z71.7;26520
10026478;Консультация по поводу вопросов отношения к сексу;Z70.0;26521
10026479;Консультация по поводу вопросов, касающаяся секса;Z70.9;26522
10026480;Консультация по поводу диеты;Z71.3;26523
10026481;Консультация по поводу зависимости от алкоголя;Z71.4;26524
10026482;Консультация по поводу зависимости от вещества;Z71.8;26525
10026483;Консультация по поводу зависимости от наркотика;Z71.5;26526
10026484;Консультация по поводу зависимости от табака;Z71.6;26527
10026485;Консультация по поводу импотенции;Z70.1;26528
10026486;Консультация по поводу контрацепции;Z30.0;26529
10026487;Консультация по поводу кровного родства;Z71.8;26530
10026488;Консультация по поводу назначения лекарственных средств;Z71.8;26531
10026489;Консультация по поводу наркотической зависимости;Z71.5;26532
10026490;Консультация по поводу результатов исследования;Z71.2;26533
10026491;Консультация по поводу сексуального поведения;Z70.1;26534
10026492;Консультация по поводу сексуальной ориентации;Z70.1;26535
10026493;Консультация по поводу сексуальных вопросов;Z70.9;26536
10026494;Консультация по поводу сексуальных вопросов по поручению третьего лица;Z70.2;26537
10026495;Консультация по поводу сексуальных вопросов, отсутствия реакции;Z70.1;26538
10026496;Консультация по поводу сексуальных вопросов, сложных проблем;Z70.3;26539
10026497;Консультация по поводу табакокурения;Z71.6;26540
10026498;Консультация по поводу уточненной причины;Z71.8;26541
10026499;Консультация по уточненной причине;Z70.8;26542
10026500;Консультирование и наблюдение по поводу наркотической зависимости;Z71.5;26543
10026501;Консультирование по вопросам питания и соответствующее наблюдение при ожирении;Z71.3;26544
10081591;Контакт с больным COVID-19;Z20.8;26545
10081590;Контакт с больным и возможность заражения COVID-19;Z20.8;26546
10026502;Контакт с больным и возможность заражения HTLV-1;Z20.8;26547
10026503;Контакт с больным и возможность заражения акариазом;Z20.7;26548
10026504;Контакт с больным и возможность заражения бешенством;Z20.3;26549
10026505;Контакт с больным и возможность заражения болезнью вирусной;Z20.8;26550
10026506;Контакт с больным и возможность заражения болезнью, вызванной ВИЧ;Z20.6;26551
10026507;Контакт с больным и возможность заражения венерической болезнью;Z20.2;26552
10026508;Контакт с больным и возможность заражения вирусной болезнью;Z20.8;26553
10026509;Контакт с больным и возможность заражения вирусным гепатитом;Z20.5;26554
10026510;Контакт с больным и возможность заражения вирусом иммунодефицитом человека;Z20.6;26555
10026511;Контакт с больным и возможность заражения ВИЧ;Z20.6;26556
10026512;Контакт с больным и возможность заражения гонореей;Z20.2;26557
10026513;Контакт с больным и возможность заражения инфекционной болезнью;Z20.9;26558
10026514;Контакт с больным и возможность заражения инфекционной болезнью кишечной;Z20.0;26559
10026515;Контакт с больным и возможность заражения инфекционной болезнью уточненной;Z20.8;26560
10026516;Контакт с больным и возможность заражения инфекционной болезнью, передающейся половым путем;Z20.2;26561
10026517;Контакт с больным и возможность заражения кишечной инфекционной болезнью;Z20.0;26562
10026518;Контакт с больным и возможность заражения коревой краснухой;Z20.4;26563
10026519;Контакт с больным и возможность заражения краснухой;Z20.4;26564
10026520;Контакт с больным и возможность заражения оспой;Z20.8;26565
10026521;Контакт с больным и возможность заражения оспой в лаборатории;Z20.8;26566
10026522;Контакт с больным и возможность заражения оспой натуральной;Z20.8;26567
10026523;Контакт с больным и возможность заражения паразитарной болезнью;Z20.7;26568
10026524;Контакт с больным и возможность заражения педикулезом;Z20.7;26569
10026525;Контакт с больным и возможность заражения полиомиелитом;Z20.8;26570
10026526;Контакт с больным и возможность заражения сифилисом;Z20.2;26571
10026527;Контакт с больным и возможность заражения туберкулезом;Z20.1;26572
10026528;Контакт с больным и возможность заражения холерой;Z20.0;26573
10026529;Контакт с больным и возможность заражения человеческим Т-лимфотропным вирусом 1 типа;Z20.8;26574
10026530;Контакт с больным и возможность инфестации;Z20.7;26575
10026531;Контакт с носителем инфекционного агента и возможность заражения акариазом;Z20.7;26576
10026532;Контрактура ампутационнной культи;T87.6;26577
10026533;Контрактура ампутационнной культи поздняя;T87.6;26578
10026534;Контрактура ахиллова сухожилия;M67.0;26579
10026535;Контрактура ахиллова сухожилия врожденная;Q66.8;26580
10026536;Контрактура бронхиальная;J98.0;26581
10026537;Контрактура века;H02.5;26582
10026538;Контрактура влагалища;N89.5;26583
10026539;Контрактура внутреннего зева матки;N88.2;26584
10026540;Контрактура врожденная тазобедренного сустава;Q65.8;26585
10026541;Контрактура выхода влагалища;N89.5;26586
10026542;Контрактура глазной мышцы;H50.8;26587
10026543;Контрактура грудино-ключично-сосковой мышцы врожденная;Q68.0;26588
10026544;Контрактура другой кишки;K56.6;26589
10026545;Контрактура Дюпюитрена;M72.0;26590
10026546;Контрактура желудка;K31.8;26591
10026547;Контрактура желудка в виде песочных часов;K31.8;26592
10026548;Контрактура желудка в виде песочных часов врожденная;Q40.2;26593
10026549;Контрактура желудка в виде песочных часов психогенная;F45.3;26594
10026550;Контрактура желудка психогенная;F45.3;26595
10026551;Контрактура желчного протока;K83.8;26596
10026552;Контрактура желчного пузыря;K82.8;26597
10026553;Контрактура желчного пузыря в виде песочных часов;K82.8;26598
10026554;Контрактура желчного пузыря в виде песочных часов врожденная;Q44.1;26599
10026555;Контрактура истерическая;F44.4;26600
10026556;Контрактура конъюнктивы;A71.1;26601
10026557;Контрактура ладонной фасции;M72.0;26602
10026558;Контрактура матки;N85.8;26603
10026559;Контрактура матки в виде песочных часов;O62.4;26604
10026560;Контрактура матки в виде песочных часов, влияние на новорожденного;P03.6;26605
10026561;Контрактура матки в виде песочных часов, влияние на плод;P03.6;26606
10026562;Контрактура матки в виде песочных часов, осложняющая родоразрешение;O62.4;26607
10026563;Контрактура мочевого пузыря;N32.8;26608
10026564;Контрактура мочевого пузыря в виде песочных часов;N32.8;26609
10026565;Контрактура мочевого пузыря в виде песочных часов врожденная;Q64.7;26610
10026566;Контрактура мочеточниково-пузырного отверстия;N13.5;26611
10026567;Контрактура мочеточниково-пузырного отверстия послеинфекционная;N13.5;26612
10026568;Контрактура мочеточниково-пузырного отверстия с инфекцией;N13.6;26613
10026569;Контрактура мышцы;M62.4;26614
10026570;Контрактура мышцы врожденная;Q79.8;26615
10026571;Контрактура мышцы глаза;H50.8;26616
10026572;Контрактура мышцы глаза паралитическая;H49.9;26617
10026573;Контрактура мышцы истерическая;F44.4;26618
10026574;Контрактура мышцы ишемическая;T79.6;26619
10026575;Контрактура мышцы позиционная;M62.4;26620
10026576;Контрактура мышцы постинфекционная;M62.4;26621
10026577;Контрактура мышцы психогенная;F45.8;26622
10026578;Контрактура мышцы психогенная уточненная как ответная реакция;F44.4;26623
10026579;Контрактура мышцы с контрактурой сустава;M24.5;26624
10026580;Контрактура наружной мышцы глаза;H50.8;26625
10026581;Контрактура ободочной кишки;K56.6;26626
10026582;Контрактура общего желчного протока;K83.8;26627
10026583;Контрактура пальца ноги;M20.5;26628
10026584;Контрактура пальца руки;M20.0;26629
10026585;Контрактура пальца руки врожденная;Q68.1;26630
10026586;Контрактура паралитическая глазной мышцы;H49.9;26631
10026587;Контрактура паралитическая мышцы;M62.4;26632
10026588;Контрактура паралитическая сустава;M24.5;26633
10026589;Контрактура печеночного желчного протока;K83.8;26634
10026590;Контрактура подошвенной фасции;M72.2;26635
10026591;Контрактура позвоночника;M43.9;26636
10026592;Контрактура почки;N26;26637
10026593;Контрактура почки врожденная;Q63.8;26638
10026594;Контрактура почки вторичная;N26;26639
10026595;Контрактура почки гидронефритическая;N13.3;26640
10026596;Контрактура почки гидронефритическая с инфекцией;N13.6;26641
10026597;Контрактура почки гранулярная;N26;26642
10026598;Контрактура почки пиелонефритическая;N11.9;26643
10026599;Контрактура почки туберкулезная;A18.1;26644
10026600;Контрактура предстательной железы;N42.8;26645
10026601;Контрактура привратника;K31.3;26646
10026602;Контрактура привратника психогенная;F45.3;26647
10026603;Контрактура пузырного протока;K82.8;26648
10026604;Контрактура связки;M24.2;26649
10026605;Контрактура связки врожденная;Q79.8;26650
10026606;Контрактура сгибательная ампутационнной культи;T87.6;26651
10026607;Контрактура слепой кишки;K56.6;26652
10026608;Контрактура сустава;M24.5;26653
10026609;Контрактура сустава врожденная;Q68.8;26654
10026610;Контрактура сустава истерическая;F44.4;26655
10026611;Контрактура сустава отводящая;M24.5;26656
10026612;Контрактура сустава пальца руки;M24.5;26657
10026613;Контрактура сустава приводящая;M24.5;26658
10026614;Контрактура сустава приобретенная;M24.5;26659
10026615;Контрактура сустава ротационная;M24.5;26660
10026616;Контрактура сустава сгибательная;M24.5;26661
10026617;Контрактура сухожилия;M67.1;26662
10026618;Контрактура сухожилия влагалища;M67.1;26663
10026619;Контрактура сухожилия с контрактурой сустава;M24.5;26664
10026620;Контрактура сфинктера мочевого пузыря;N32.0;26665
10026621;Контрактура таза;M95.5;26666
10026622;Контрактура таза общая;M95.5;26667
10026623;Контрактура таза приобретенная;M95.5;26668
10026624;Контрактура таза с диспропорцией;O33.1;26669
10026625;Контрактура таза с диспропорцией в среднем диаметре;O33.3;26670
10026626;Контрактура таза с диспропорцией входного отверстия;O33.2;26671
10026627;Контрактура таза с диспропорцией выходного отверстия;O33.3;26672
10026628;Контрактура таза с диспропорцией размеров плода и таза;O33.1;26673
10026629;Контрактура таза с диспропорцией, влияние на новорожденного;P03.1;26674
10026630;Контрактура таза с диспропорцией, влияние на плод;P03.1;26675
10026631;Контрактура таза с диспропорцией, вызывающая затрудненные роды;O65.1;26676
10026632;Контрактура тазобедренного сустава;M24.5;26677
10026633;Контрактура толстого кишечника;K56.6;26678
10026634;Контрактура трахоматозная активная;A71.1;26679
10026635;Контрактура уретры;N35.9;26680
10026636;Контрактура Фолькманна;T79.6;26681
10026637;Контрактура Фолькманна ишемическая;T79.6;26682
10026638;Контрактура хирургическая ампутационнной культи;T87.6;26683
10026639;Контрактура шейки матки;N88.2;26684
10026640;Контрактура шейки мочевого пузыря;N32.0;26685
10026641;Контракционное кольцо;O62.4;26686
10026642;Контракционное кольцо Бандля;Q62.4;26687
10026643;Контракционное кольцо Бандля, влияние на новорожденного;P03.6;26688
10026644;Контракционное кольцо Бандля, влияние на плод;P03.6;26689
10026645;Контракционное кольцо матки;O62.4;26690
10026646;Контракционное кольцо, влияние на новорожденного;P03.6;26691
10026647;Контракционное кольцо, влияние на плод;P03.6;26692
10026648;Контракционное кольцо, осложняющее родоразрешение;Q62.4;26693
10026649;Контрацепция рекомендация;Z30.0;26694
10026650;Контрацепция совет;Z30.0;26695
10026651;Контрацепция, наблюдение за применением;Z30.9;26696
10026652;Контрацепция, наблюдение за применением уточненное;Z30.8;26697
10026653;Конус;Q14.8;26698
10026654;Конус врожденный;Q14.8;26699
10026655;Конус приобретенный;H35.3;26700
10026656;Конус роговицы приобретенный;H18.6;26701
10026657;Конуса мозгового синдром;G95.8;26702
10026658;Конфликт между супругами;Z63.0;26703
10026659;Конфликт, связанный с социальной ролью;Z73.5;26704
10026660;Конъюнктивит;H10.9;26705
10026661;Конъюнктивит аденовирусный;B30.1;26706
10026662;Конъюнктивит аденовирусный острый;B30.1;26707
10026663;Конъюнктивит аденовирусный фолликулярный;B30.1;26708
10026664;Конъюнктивит аллергический;H10.1;26709
10026665;Конъюнктивит аллергический острый;H10.1;26710
10026666;Конъюнктивит Аполлона;B30.3;26711
10026667;Конъюнктивит атопический;H10.1;26712
10026668;Конъюнктивит атопический острый;H10.1;26713
10026669;Конъюнктивит бленнорейный;A54.3;26714
10026670;Конъюнктивит бленнорейный гонококковый;A54.3;26715
10026671;Конъюнктивит бленнорейный новорожденного;A54.3;26716
10026672;Конъюнктивит вирусный;B30.9;26717
10026673;Конъюнктивит вирусный уточненный;B30.8;26718
10026674;Конъюнктивит геморрагический;B30.3;26719
10026675;Конъюнктивит геморрагический острый;B30.3;26720
10026676;Конъюнктивит геморрагический эпидемический;B30.3;26721
10026677;Конъюнктивит гонококковый;A54.3;26722
10026678;Конъюнктивит гонококковый новорожденного;A54.3;26723
10026679;Конъюнктивит гранулезный;A71.1;26724
10026680;Конъюнктивит гранулезный трахоматозный;A71.1;26725
10026681;Конъюнктивит дифтерийный;A36.8;26726
10026682;Конъюнктивит Коха-Уика;H10.0;26727
10026683;Конъюнктивит менингококковый;A39.8;26728
10026684;Конъюнктивит Моракса-Аксенфельда;H10.2;26729
10026685;Конъюнктивит неонатальный;P39.1;26730
10026686;Конъюнктивит неонатальный гонококковый;A54.3;26731
10026687;Конъюнктивит Ньюкасла;B30.8;26732
10026688;Конъюнктивит острый;H10.3;26733
10026689;Конъюнктивит острый уточненный;H10.2;26734
10026690;Конъюнктивит Парино;H10.8;26735
10026691;Конъюнктивит плавательных бассейнов;B30.1;26736
10026692;Конъюнктивит с включениями;A74.0;26737
10026693;Конъюнктивит слизисто-гнойный;H10.0;26738
10026694;Конъюнктивит трахоматозный;A71.1;26739
10026695;Конъюнктивит туберкулезный;A18.5;26740
10026696;Конъюнктивит туляремийный;A21.1;26741
10026697;Конъюнктивит уточненный;H10.8;26742
10026698;Конъюнктивит хламидийный;A74.0;26743
10026699;Конъюнктивит хламидийный новорожденного;P39.1;26744
10026700;Конъюнктивит хронический;H10.4;26745
10026701;Конъюнктивит хронический с петрификацией;H10.4;26746
10026702;Конъюнктивит хронический узелковый;H10.4;26747
10026703;Конъюнктивит хронический фликтенулезный;H10.4;26748
10026704;Конъюнктивит эпидемический;B30.9;26749
10026705;Конъюнктивит эпидемический вирусный;B30.9;26750
10026706;Конъюнктивит эпидемический геморрагический;B30.3;26751
10026707;Конъюнктивит, вызванный Acanthamoeba;B60.1;26752
10026708;Конъюнктивит, вызванный вирусом;B30.8;26753
10026709;Конъюнктивит, вызванный вирусом Коксаки типа 24;B30.3;26754
10026710;Конъюнктивит, вызванный вирусом опоясывающего лишая;B02.3;26755
10026711;Конъюнктивит, вызванный вирусом простого герпеса;B00.5;26756
10026712;Конъюнктивит, вызванный другим видом розацеа;L71.8;26757
10026713;Конъюнктивит, вызванный инфекционной болезнью;B99;26758
10026714;Конъюнктивит, вызванный опоясывающим лишаем;B02.3;26759
10026715;Конъюнктивит, вызванный паразитарной болезнью;B89;26760
10026716;Конъюнктивит, вызванный периоральным дерматитом;L71.0;26761
10026717;Конъюнктивит, вызванный ринофимой;L71.1;26762
10026718;Конъюнктивит, вызванный розацеа неуточненного вида;L71.9;26763
10026719;Конъюнктивит, вызванный сифилисом;A52.7;26764
10026720;Конъюнктивит, вызванный сифилисом поздним;A52.7;26765
10026721;Конъюнктивит, вызванный хламидиями;A74.0;26766
10026722;Конъюнктивит, вызванный энтеровирусом типа 70;B30.3;26767
10026723;Конъюнктивит, вызванный энтеровирусом типа 70 геморрагическим;B30.3;26768
10026724;Коплика пятна;B05.9;26769
10026725;Копролит;K56.4;26770
10026726;Копропорфирия наследственная;E80.2;26771
10026727;Копростаз;K56.4;26772
10026728;Копрофагия;F50.8;26773
10026729;Копьевидные зубы;K00.2;26774
10026730;Корбуса болезнь;N48.1;26775
10026731;Кордит;N49.1;26776
10026732;Кордит семенного канатика;N49.1;26777
10026733;Коревая краснуха;B06.9;26778
10026734;Коректопия;Q13.2;26779
10026735;Кори болезнь;E74.0;26780
10026736;Кориза;J00;26781
10026737;Кориза острая;J00;26782
10026738;Кориза с гриппом;J11.1;26783
10026739;Корлеттапиоз;L00;26784
10026740;Кормление контрольное;Z00.1;26785
10026741;Кормление контрольное ребенка;Z00.1;26786
10026742;Кормления проблема;R63.3;26787
10026743;Кормления проблема неорганического происхождения;F50.8;26788
10026744;Кормления проблема новорожденного;P92.9;26789
10026745;Кормления проблема новорожденного уточненная;P92.8;26790
10026746;Кормления трудности;R63.3;26791
10026747;Корнелия де Ланге синдром;Q87.1;26792
10026748;Коровья оспа;B08.0;26793
10026749;Коровья оспа века;B08.0;26794
10081542;Коронавирус 2019;U07.1;26795
10081544;Коронавирус 2019, диагностированный клинически или эпидемиологически;U07.2;26796
10081543;Коронавирус 2019, подтвержденный лабораторным тестированием;U07.1;26797
10081553;Коронавирусная болезнь 2019;U07.1;26798
10081525;Коронавирусная болезнь 2019, вирус идентифицирован;U07.1;26799
10081526;Коронавирусная болезнь 2019, вирус не идентифицирован;U07.2;26800
10081582;Коронавирусная инфекция COVID-19, вирус идентифицирован;U07.1;26801
10081584;Коронавирусная инфекция COVID-19, вирус не идентифицирован;U07.2;26802
10026752;Короткая бедренная кость;M21.7;26803
10026753;Короткая бедренная кость врожденная;Q72.4;26804
10026754;Короткая бедренная кость приобретенная;M21.7;26805
10026755;Короткая лучевая кость;M21.7;26806
10026756;Короткая лучевая кость врожденная;Q71.4;26807
10026757;Короткая лучевая кость приобретенная;M21.7;26808
10026758;Короткая нога;M21.7;26809
10026759;Короткая нога врожденная;Q72.8;26810
10026760;Короткая нога приобретенная;M21.7;26811
10026761;Короткая плюсна;Q66.8;26812
10026762;Короткая плюсна врожденная;Q66.8;26813
10026763;Короткая плюсна приобретенная;M21.8;26814
10026764;Короткая пуповина, осложняющая роды;O69.3;26815
10026765;Короткая пуповина, осложняющая роды, влияние на новорожденного;P02.6;26816
10026766;Короткая пуповина, осложняющая роды, влияние на плод;P02.6;26817
10026767;Короткая рука;M21.7;26818
10026768;Короткая рука врожденная;Q71.8;26819
10026769;Короткая рука приобретенная;M21.7;26820
10026770;Короткая стопа;Q66.8;26821
10026771;Короткая стопа врожденная;Q66.8;26822
10026772;Короткая стопа приобретенная;M21.8;26823
10026773;Короткая уздечка языка;Q38.1;26824
10026774;Короткая уздечка языка врожденная;Q38.1;26825
10026775;Короткая уретра;N36.8;26826
10026776;Короткая шея;Q76.4;26827
10026777;Короткий общий желчный проток врожденный;Q44.5;26828
10026778;Короткий общий пузырный проток врожденный;Q44.5;26829
10026779;Короткий пищевод;Q39.8;26830
10026780;Короткий пищевод врожденный;Q39.8;26831
10026781;Короткий пупочный канатик, осложняющий роды;O69.3;26832
10026782;Короткий пупочный канатик, осложняющий роды, влияние на новорожденного;P02.6;26833
10026783;Короткий пупочный канатик, осложняющий роды, влияние на плод;P02.6;26834
10026784;Короткого ребра синдром;Q77.2;26835
10026785;Короткое ахиллесово сухожилие;M67.0;26836
10026786;Короткое ахиллесово сухожилие врожденное;Q66.8;26837
10026787;Короткое ахиллесово сухожилие приобретенное;M67.0;26838
10026788;Короткое бедро;M21.7;26839
10026789;Короткое бедро врожденное;Q65.8;26840
10026790;Короткое бедро приобретенное;M21.7;26841
10026791;Короткое влагалище;Q52.4;26842
10026792;Короткое влагалище врожденное;Q52.4;26843
10026793;Короткое небо врожденное;Q38.5;26844
10026794;Короткое ребро;Q77.2;26845
10026795;Короткое сухожилие;M67.1;26846
10026796;Короткое сухожилие врожденное;Q79.8;26847
10026797;Короткое сухожилие с контрактурой сустава;M24.5;26848
10026798;Корригированная транспозиция;Q20.5;26849
10026799;Корсакова болезнь;F10.6;26850
10026800;Корсакова болезнь неалкогольная;F04;26851
10026801;Корсакова психоз;F10.6;26852
10026802;Корсакова психоз алкогольный;F10.6;26853
10026803;Корсакова психоз неалкогольный;F04;26854
10026804;Корсакова синдром;F10.6;26855
10026805;Корсакова синдром алкогольный;F10.6;26856
10026806;Корсакова синдром неалкогольный;F04;26857
10026807;Корсиканская лихорадка;B54;26858
10026808;Корь;B05.9;26859
10026809;Корь абортивная;B05.9;26860
10026810;Корь геморрагическая;B05.9;26861
10026811;Корь немецкая;B06.9;26862
10026812;Корь с кератитом;B05.8;26863
10026813;Корь с кератоконъюнктивитом;B05.8;26864
10026814;Корь с кишечными осложнениями;B05.4;26865
10026815;Корь с менингитом;B05.1;26866
10026816;Корь с осложнениями;B05.8;26867
10026817;Корь с пневмонией;B05.2;26868
10026818;Корь с энцефалитом;B05.0;26869
10026819;Корь со средним отитом;B05.3;26870
10026820;Корь черная;B05.9;26871
10026821;Косаря легкое;J67.0;26872
10026822;Косоглазие;H50.9;26873
10026823;Косоглазие аккомодационное;H50.0;26874
10026824;Косоглазие вертикальное;H50.2;26875
10026825;Косоглазие врожденное;H50.9;26876
10026826;Косоглазие механическое;H50.6;26877
10026827;Косоглазие непаралитическое;H50.9;26878
10026828;Косоглазие паралитическое;H49.9;26879
10026829;Косоглазие паралитическое уточненное;H49.8;26880
10026830;Косоглазие перемежающееся;H50.3;26881
10026831;Косоглазие переменное;H50.9;26882
10026832;Косоглазие расходящееся;H50.1;26883
10026833;Косоглазие скрытое;H50.5;26884
10026834;Косоглазие содруджественное;H50.4;26885
10026835;Косоглазие содруджественное расходящееся;H50.1;26886
10026836;Косоглазие содруджественное сходящееся;H50.0;26887
10026837;Косоглазие сходящееся;H50.0;26888
10026838;Косоглазие уточненное;H50.8;26889
10026839;Косоглазие, вызванное рубцами;H50.6;26890
10026840;Косоглазие, вызванное сращениями;H50.6;26891
10026841;Косолапость;Q66.8;26892
