зяином квартиры;Z59.2;59528
10065409;Родоразрешение путем кесарева сечения при неправильном положении тазовых органов;O34.8;65477
10065410;Родоразрешение путем кесарева сечения при неправильном положении тазовых тканей;O34.8;65478
10065411;Родоразрешение путем кесарева сечения при неправильном предлежании;O32.9;65479
10065412;Родоразрешение путем кесарева сечения при неправильном предлежании при многоплодной беременности;O32.5;65480
10065413;Родоразрешение путем кесарева сечения при неудачной вакуум-экстракции;O66.5;65481
10065414;Родоразрешение путем кесарева сечения при неудачной попытке вызвать роды;O66.4;65482
10065415;Родоразрешение путем кесарева сечения при неудачном наложении вакуум-экстрактора;O66.5;65483
10065416;Родоразрешение путем кесарева сечения при неудачном наложении щипцов;O66.5;65484
10065417;Родоразрешение путем кесарева сечения при общем сужении входного отверстия таза;O33.2;65485
10065418;Родоразрешение путем кесарева сечения при общем сужении выходного отверстия таза;O33.3;65486
10065419;Родоразрешение путем кесарева сечения при опухоли тазовых органов;O34.8;65487
10065420;Родоразрешение путем кесарева сечения при опухоли тазовых тканей;O34.8;65488
10065421;Родоразрешение путем кесарева сечения при опухоли шейки матки;O34.4;65489
10065422;Родоразрешение путем кесарева сечения при первичной слабости родовой деятельности;O62.0;65490
10065423;Родоразрешение путем кесарева сечения при плацентарной недостаточности;O36.5;65491
10065424;Родоразрешение путем кесарева сечения при плодной диспропорции, вызванной аномалией плода;O33.7;65492
10065425;Родоразрешение путем кесарева сечения при плодном дистрессе;O36.8;65493
10065426;Родоразрешение путем кесарева сечения при плодо-материнском кровотечении;O43.0;65494
10065427;Родоразрешение путем кесарева сечения при плодо-тазовой диспропорции;O33.9;65495
10065428;Родоразрешение путем кесарева сечения при подбородочном предлежании;O32.3;65496
10065429;Родоразрешение путем кесарева сечения при полипе шейки матки;O34.4;65497
10065430;Родоразрешение путем кесарева сечения при попадании мекония в околоплодную жидкость;O36.8;65498
10065431;Родоразрешение путем кесарева сечения при поперечном положении акромиона плода;O32.2;65499
10065432;Родоразрешение путем кесарева сечения при поперечном положении плода;O32.2;65500
10065433;Родоразрешение путем кесарева сечения при поперечном предлежании акромиона плода;O32.2;65501
10065434;Родоразрешение путем кесарева сечения при поперечном предлежании плечика;O32.2;65502
10065435;Родоразрешение путем кесарева сечения при поперечном предлежании плода;O32.2;65503
10065436;Родоразрешение путем кесарева сечения при предлежании плаценты;O44.1;65504
10065437;Родоразрешение путем кесарева сечения при предлежании плаценты без кровотечения;O44.0;65505
10065438;Родоразрешение путем кесарева сечения при предлежании плаценты с кровотечением;O44.1;65506
10065439;Родоразрешение путем кесарева сечения при предшествующем гинекологическом хирургическом вмешательстве;O34.8;65507
10065440;Родоразрешение путем кесарева сечения при предшествующем кесаревом сечении;O34.2;65508
10065441;Родоразрешение путем кесарева сечения при предшествующем хирургическом вмешательстве на влагалище;O34.6;65509
10065442;Родоразрешение путем кесарева сечения при предшествующем хирургическом вмешательстве на матке;O34.2;65510
10065443;Родоразрешение путем кесарева сечения при предшествующем хирургическом вмешательстве на шейке матки;O34.4;65511
10065444;Родоразрешение путем кесарева сечения при преждевременной отслойке плаценты;O45.9;65512
10065445;Родоразрешение путем кесарева сечения при преэклампсии;O14.9;65513
10065446;Родоразрешение путем кесарева сечения при приобретенной деформации костного таза;O33.0;65514
10065447;Родоразрешение путем кесарева сечения при приобретенной деформации таза;O33.0;65515
10065448;Родоразрешение путем кесарева сечения при приобретенной деформации тазовых органов;O34.8;65516
10065449;Родоразрешение путем кесарева сечения при приобретенной деформации тазовых тканей;O34.8;65517
10065450;Родоразрешение путем кесарева сечения при ректоцеле;O34.8;65518
10065451;Родоразрешение путем кесарева сечения при ретроверсии;O34.5;65519
10065452;Родоразрешение путем кесарева сечения при ретроверсии матки;O34.5;65520
10065453;Родоразрешение путем кесарева сечения при ригидности влагалища;O34.6;65521
10065454;Родоразрешение путем кесарева сечения при ригидности вульвы;O34.7;65522
10065455;Родоразрешение путем кесарева сечения при ригидности промежности;O34.7;65523
10065456;Родоразрешение путем кесарева сечения при ригидности тазового дна;O34.8;65524
10065457;Родоразрешение путем кесарева сечения при ригидности шейки матки;O34.4;65525
10065458;Родоразрешение путем кесарева сечения при рубцах матки;O34.2;65526
10065459;Родоразрешение путем кесарева сечения при рубцах от предшествовавшего кесарева сечения;O34.2;65527
10065460;Родоразрешение путем кесарева сечения при рубцах шейки матки;O34.4;65528
10065461;Родоразрешение путем кесарева сечения при слабом раскрытии шейки матки;O62.0;65529
10065462;Родоразрешение путем кесарева сечения при слабости родовой деятельности;O62.2;65530
10065463;Родоразрешение путем кесарева сечения при смещении матки;O34.5;65531
10065464;Родоразрешение путем кесарева сечения при стенозе шейки матки;O34.4;65532
10065465;Родоразрешение путем кесарева сечения при стриктуре шейки матки;O34.4;65533
10065466;Родоразрешение путем кесарева сечения при сужении входного отверстия таза;O33.2;65534
10065467;Родоразрешение путем кесарева сечения при сужении выходного отверстия таза;O33.3;65535
10065468;Родоразрешение путем кесарева сечения при тазовой опухоли;O34.8;65536
10065469;Родоразрешение путем кесарева сечения при ущемлении матки;O34.5;65537
10065470;Родоразрешение путем кесарева сечения при цистоцеле;O34.8;65538
10065471;Родоразрешение путем кесарева сечения при чрезмерно крупном плоде;O33.5;65539
10065472;Родоразрешение путем кесарева сечения при шве по Широдкару in situ;O34.3;65540
10065473;Родоразрешение путем кесарева сечения при эклампсии;O15.0;65541
10065474;Родоразрешение путем кесарева сечения при ягодичном предлежании;O32.1;65542
10065475;Родоразрешение путем кесарева сечения с гистерэктомией;O82.2;65543
10065476;Родоразрешение путем кесарева сечения с самопроизвольными родами;O60.1;65544
10065477;Родоразрешение путем кесарева сечения срочного;O82.1;65545
10065478;Родоразрешение путем кесарева сечения элективного;O82.0;65546
10065479;Родоразрешение путем кесарева сечения, влияние на новорожденного;P03.4;65547
10065480;Родоразрешение путем кесарева сечения, влияние на плод;P03.4;65548
10065481;Родоразрешение путем повторного кесарева сечения;O82.0;65549
10065482;Родоразрешение с акушерским пособием;O83.9;65550
10065483;Родоразрешение с акушерским пособием уточненным;O83.8;65551
10065484;Родоразрешение с акушерскими манипуляциями;O83.2;65552
10065485;Родоразрешение с акушерскими манипуляциями ручными приемами;O83.2;65553
10065486;Родоразрешение с применением клейдотомии для облегчения родоразрешения;O83.4;65554
10065487;Родоразрешение с применением щипцов;O81.3;65555
10065488;Родоразрешение с применением щипцов и вакуум-экстрактора;O81.5;65556
10065489;Родоразрешение с применением щипцов низких;O81.0;65557
10065490;Родоразрешение с применением щипцов низких выходных;O81.0;65558
10065491;Родоразрешение с применением щипцов низких выходных после неудачной попытки применения вакуум-экстрактора;O66.5;65559
10065492;Родоразрешение с применением щипцов низких после неудачной попытки применения вакуум-экстрактора;O66.5;65560
10065493;Родоразрешение с применением щипцов средних;O81.1;65561
10065494;Родоразрешение с применением щипцов средних полостных;O81.1;65562
10065495;Родоразрешение с применением щипцов средних полостных с поворотом;O81.2;65563
10065496;Родоразрешение с применением щипцов средних с поворотом;O81.2;65564
10065497;Родоразрешение с применением щипцов, влияние на новорожденного;P03.2;65565
10065498;Родоразрешение с применением щипцов, влияние на плод;P03.2;65566
10065499;Родоразрешение с применением эмбриотомии для облегчения родоразрешения;O83.4;65567
10065500;Родоразрешение с ранним началом;O60.1;65568
10065501;Родоразрешение с ранним началом без самопроизвольных родов;O60.3;65569
10065502;Родоразрешение с ранним началом без самопроизвольных родов, индукция;O60.3;65570
10065503;Родоразрешение с ранним началом без самопроизвольных родов, кесарево сечение;O60.3;65571
10065504;Родоразрешение с ранним началом с самопроизвольными родами;O60.1;65572
10065505;Родоразрешение через влагалище после предшествовавшего кесарева сечения;O75.7;65573
10065506;Родоразрешение, осложненное плацентарным плотным прикреплением;O43.2;65574
10065507;Родоразрешение, осложненное плацентарным плотным прикреплением патологическим;O43.2;65575
10065508;Родоразрешение, осложненное плаценты врастанием;O43.2;65576
10065509;Родоразрешение, осложненное плаценты плотным прикреплением;O43.2;65577
10065510;Родоразрешение, осложненное плаценты плотным прикреплением патологическим;O43.2;65578
10065511;Родоразрешение, осложненное плаценты приращением;O43.2;65579
10065512;Родоразрешение, осложненное плаценты прорастанием;O43.2;65580
10065513;Родоразрешение, осложненное плотным прикреплением плаценты;O43.2;65581
10065514;Родоразрешение, осложненное плотным прикреплением плаценты патологическим;O43.2;65582
10065515;Роды в нормальный срок окончания беременности одноплодные самопроизвольные;O80.9;65583
10065516;Роды в ягодичном предлежании;O83.1;65584
10065517;Роды в ягодичном предлежании с акушерским пособием;O83.1;65585
10065518;Роды в ягодичном предлежании с извлечением за тазовый конец;O83.0;65586
10065519;Роды в ягодичном предлежании, влияние на новорожденного;P03.0;65587
10065520;Роды в ягодичном предлежании, влияние на плод;P03.0;65588
10065521;Роды двойней, влияние на новорожденного;P01.5;65589
10065522;Роды двойней, влияние на плод;P01.5;65590
10065523;Роды длительные;O63.9;65591
10065524;Роды длительные в первом периоде;O63.0;65592
10065525;Роды длительные во втором периоде;O63.1;65593
10065526;Роды длительные, влияние на новорожденного;P03.8;65594
10065527;Роды длительные, влияние на плод;P03.8;65595
10065528;Роды живым ребенком при абдоминальной беременности;O83.3;65596
10065529;Роды замедленные, влияние на новорожденного;P03.8;65597
10065530;Роды замедленные, влияние на плод;P03.8;65598
10065531;Роды запоздалые, влияние на плод;P03.8;65599
10065532;Роды затрудненные;O66.9;65600
10065533;Роды затрудненные по причине акромиального предлежания;O64.4;65601
10065534;Роды затрудненные по причине аномалии влагалища;O65.5;65602
10065535;Роды затрудненные по причине аномалии костного таза;O65.9;65603
10065536;Роды затрудненные по причине аномалии костного таза, влияние на новорожденного;P03.1;65604
10065537;Роды затрудненные по причине аномалии костного таза, влияние на плод;P03.1;65605
10065538;Роды затрудненные по причине аномалии матки;O65.5;65606
10065539;Роды затрудненные по причине аномалии мягких частей таза;O65.5;65607
10065540;Роды затрудненные по причине аномалии положения плода;O64.9;65608
10065541;Роды затрудненные по причине аномалии положения плода, влияние на новорожденного;P03.1;65609
10065542;Роды затрудненные по причине аномалии положения плода, влияние на плод;P03.1;65610
10065543;Роды затрудненные по причине аномалии предлежания плода;O64.9;65611
10065544;Роды затрудненные по причине аномалии предлежания плода, влияние на новорожденного;P03.1;65612
10065545;Роды затрудненные по причине аномалии предлежания плода, влияние на плод;P03.1;65613
10065546;Роды затрудненные по причине аномалии размеров плода;O66.2;65614
10065547;Роды затрудненные по причине аномалии размеров плода, влияние на новорожденного;P03.1;65615
10065548;Роды затрудненные по причине аномалии размеров плода, влияние на плод;P03.1;65616
10065549;Роды затрудненные по причине аномалии таза;O65.9;65617
10065550;Роды затрудненные по причине аномалии таза костного уточненной;O65.8;65618
10065551;Роды затрудненные по причине аномалии таза уточненной;O65.8;65619
10065552;Роды затрудненные по причине аномалии таза, влияние на новорожденного;P03.1;65620
10065553;Роды затрудненные по причине аномалии таза, влияние на плод;P03.1;65621
10065554;Роды затрудненные по причине аномалии тазовых органов;O65.5;65622
10065555;Роды затрудненные по причине аномалии тазовых тканей;O65.5;65623
10065556;Роды затрудненные по причине аномалии шейки матки;O65.5;65624
10065557;Роды затрудненные по причине антеверсии матки;O65.5;65625
10065558;Роды затрудненные по причине антеверсии шейки матки;O65.5;65626
10065559;Роды затрудненные по причине вколоченного плечика;O66.0;65627
10065560;Роды затрудненные по причине вколоченных плечиков;O66.0;65628
10065561;Роды затрудненные по причине выпадения кисти;O64.4;65629
10065562;Роды затрудненные по причине выпадения матки;O65.5;65630
10065563;Роды затрудненные по причине выпадения ножки;O64.8;65631
10065564;Роды затрудненные по причине выпадения ручки;O64.4;65632
10065565;Роды затрудненные по причине выпадения стопы;O64.8;65633
10065566;Роды затрудненные по причине гидроцефалии плода;O66.3;65634
10065567;Роды затрудненные по причине гидроцефалии плода, влияние на новорожденного;P03.1;65635
10065568;Роды затрудненные по причине гидроцефалии плода, влияние на плод;P03.1;65636
10065569;Роды затрудненные по причине глубокой поперечной остановки;O64.0;65637
10065570;Роды затрудненные по причине двойной матки;O65.5;65638
10065571;Роды затрудненные по причине двойной матки врожденной;O65.5;65639
10065572;Роды затрудненные по причине двурогой матки;O65.5;65640
10065573;Роды затрудненные по причине деформации костного таза;O65.0;65641
10065574;Роды затрудненные по причине деформации таза;O65.0;65642
10065575;Роды затрудненные по причине деформации тазовых органов;O65.5;65643
10065576;Роды затрудненные по причине деформации тазовых тканей;O65.5;65644
10065577;Роды затрудненные по причине диспропорции размеров плода и таза;O65.4;65645
10065578;Роды затрудненные по причине диспропорции размеров плода и таза при нормально сформированном плоде;O65.4;65646
10065579;Роды затрудненные по причине диспропорции размеров плода и таза при нормально сформированном плоде, влияние на новорожденного;P03.1;65647
10065580;Роды затрудненные по причине диспропорции размеров плода и таза при нормально сформированном плоде, влияние на плод;P03.1;65648
10065581;Роды затрудненные по причине диспропорции размеров плода и таза, влияние на новорожденного;P03.1;65649
10065582;Роды затрудненные по причине диспропорции размеров плода и таза, влияние на плод;P03.1;65650
10065583;Роды затрудненные по причине дистоции плечика;O66.0;65651
10065584;Роды затрудненные по причине комбинированного предлежания;O64.5;65652
10065585;Роды затрудненные по причине косого предлежания;O64.4;65653
10065586;Роды затрудненные по причине латероверсии матки;O65.5;65654
10065587;Роды затрудненные по причине латероверсии шейки матки;O65.5;65655
10065588;Роды затрудненные по причине лицевого предлежания;O64.2;65656
10065589;Роды затрудненные по причине лицевого предлежания к лобку;O64.0;65657
10065590;Роды затрудненные по причине лобного предлежания;O64.3;65658
10065591;Роды затрудненные по причине невставления головки плода;O64.8;65659
10065592;Роды затрудненные по причине необычно крупного плода;O66.2;65660
10065593;Роды затрудненные по причине неправильного положения плода;O64.9;65661
10065594;Роды затрудненные по причине неправильного положения тазовых органов;O65.5;65662
10065595;Роды затрудненные по причине неправильного положения тазовых тканей;O65.5;65663
10065596;Роды затрудненные по причине неправильного предлежания;O64.9;65664
10065597;Роды затрудненные по причине неправильного предлежания, влияние на новорожденного;P03.1;65665
10065598;Роды затрудненные по причине неправильного предлежания, влияние на новорожденного уточненного;O64.8;65666
10065599;Роды затрудненные по причине неправильного предлежания, влияние на плод;P03.1;65667
10065600;Роды затрудненные по причине неправильного предлежания, влияние на плод уточненного;O64.8;65668
10065601;Роды затрудненные по причине неспособности головки плода войти в верхний край входа в таз;O64.8;65669
10065602;Роды затрудненные по причине подбородочного предлежания;O64.2;65670
10065603;Роды затрудненные по причине поперечного глубокого низкого стояния головки;O64.0;65671
10065604;Роды затрудненные по причине поперечного глубокого стояния головки;O64.0;65672
10065605;Роды затрудненные по причине поперечного положения;O64.8;65673
10065606;Роды затрудненные по причине поперечного предлежания;O64.8;65674
10065607;Роды затрудненные по причине предлежания плечика;O64.4;65675
10065608;Роды затрудненные по причине ректоцеле;O65.5;65676
10065609;Роды затрудненные по причине ретроверсии матки;O65.5;65677
10065610;Роды затрудненные по причине ретроверсии шейки матки;O65.5;65678
10065611;Роды затрудненные по причине ригидности влагалища;O65.5;65679
10065612;Роды затрудненные по причине ригидности вульвы;O65.5;65680
10065613;Роды затрудненные по причине ригидности промежности;O65.5;65681
10065614;Роды затрудненные по причине ригидности тазового дна;O65.5;65682
10065615;Роды затрудненные по причине ригидности шейки;O65.5;65683
10065616;Роды затрудненные по причине ригидности шейки матки;O65.5;65684
10065617;Роды затрудненные по причине рубцов в шейке матки;O34.4;65685
10065618;Роды затрудненные по причине смещения матки;O65.5;65686
10065619;Роды затрудненные по причине состояний, перечисленных в рубриках O32;O64.9;65687
10065620;Роды затрудненные по причине стеноза;O65.5;65688
10065621;Роды затрудненные по причине сужения входного отверстия таза;O65.2;65689
10065622;Роды затрудненные по причине сужения выходного отверстия из средней части таза;O65.3;65690
10065623;Роды затрудненные по причине сужения выходного отверстия таза;O65.3;65691
10065624;Роды затрудненные по причине сужения общего таза;O65.1;65692
10065625;Роды затрудненные по причине сужения средней части полости таза;O65.2;65693
10065626;Роды затрудненные по причине сужения таза;O65.1;65694
10065627;Роды затрудненные по причине сцепления близнецов;O66.1;65695
10065628;Роды затрудненные по причине тазовой опухоли;O65.5;65696
10065629;Роды затрудненные по причине устойчивого заднего положения;O64.0;65697
10065630;Роды затрудненные по причине устойчивого заднезатылочного положения;O64.0;65698
10065631;Роды затрудненные по причине устойчивого поперечного положения;O64.0;65699
10065632;Роды затрудненные по причине ущемления матки;O65.5;65700
10065633;Роды затрудненные по причине фиброидной опухоли матки;O65.5;65701
10065634;Роды затрудненные по причине цистоцеле;O65.5;65702
10065635;Роды затрудненные по причине ягодичного предлежания;O64.1;65703
10065636;Роды затрудненные уточненные;O66.8;65704
10065637;Роды затрудненные, влияние на новорожденного;P03.1;65705
10065638;Роды затрудненные, влияние на плод;P03.1;65706
10065639;Роды затянувшиеся;O63.9;65707
10065640;Роды затянувшиеся в первом периоде;O63.0;65708
10065641;Роды затянувшиеся во втором периоде;O63.1;65709
10065642;Роды затянувшиеся второго плода из двойни, тройни и т.д.;O63.2;65710
10065643;Роды затянувшиеся после искусственного разрыва плодных оболочек;O75.5;65711
10065644;Роды затянувшиеся после разрыва плодных оболочек;O75.6;65712
10065645;Роды затянувшиеся после самопроизвольного разрыва плодных оболочек;O75.6;65713
10065646;Роды затянувшиеся, влияние на новорожденного;P03.8;65714
10065647;Роды затянувшиеся, влияние на плод;P03.8;65715
10065648;Роды инструментальные, влияющие на новорожденного;P03.8;65716
10065649;Роды инструментальные, влияющие на плод;P03.8;65717
10065650;Роды искусственные, влияние на новорожденного;P03.8;65718
10065651;Роды искусственные, влияние на плод;P03.8;65719
10065652;Роды ложные;O47.9;65720
10065653;Роды ложные до 37 полных недель беременности;O47.0;65721
10065654;Роды ложные начиная с 37 полных недель беременности;O47.1;65722
10065655;Роды многоплодные;O84.9;65723
10065656;Роды многоплодные комбинированным способом;O84.8;65724
10065657;Роды многоплодные посредством вакуум-экстрактора;O84.1;65725
10065658;Роды многоплодные посредством кесарева сечения;O84.2;65726
10065659;Роды многоплодные посредством щипцов;O84.1;65727
10065660;Роды многоплодные самопроизвольные;O84.0;65728
10065661;Роды многоплодные уточненные;O84.8;65729
10065662;Роды многоплодные, влияние на новорожденного;P01.5;65730
10065663;Роды многоплодные, влияние на плод;P01.5;65731
10065664;Роды неосложненные;O80.9;65732
10065665;Роды несостоявшиеся;O36.4;65733
10065666;Роды несостоявшиеся к окончанию срока беременности;O36.4;65734
10065667;Роды нормальные самопроизвольные;O80.9;65735
10065668;Роды осложненные;O75.9;65736
10065669;Роды осложненные акушерской травмой;O71.9;65737
10065670;Роды осложненные акушерской травмой у матери;O71.9;65738
10065671;Роды осложненные акушерской травмой уточненной;O71.8;65739
10065672;Роды осложненные аномалией влагалища;O65.5;65740
10065673;Роды осложненные аномалией врожденной плода;O66.3;65741
10065674;Роды осложненные аномалией двойной матки;O65.5;65742
10065675;Роды осложненные аномалией двойной матки врожденной;O65.5;65743
10065676;Роды осложненные аномалией двурогой матки;O65.5;65744
10065677;Роды осложненные аномалией костного таза плода;O65.9;65745
10065678;Роды осложненные аномалией матки;O65.5;65746
10065679;Роды осложненные аномалией мягких частей таза;O65.5;65747
10065680;Роды осложненные аномалией плода;O66.3;65748
10065681;Роды осложненные аномалией плода с наличием мекония в околоплодной жидкости;O68.2;65749
10065682;Роды осложненные аномалией положения плода;O64.9;65750
10065683;Роды осложненные аномалией положения плода, влияние на новорожденного;P03.1;65751
10065684;Роды осложненные аномалией положения плода, влияние на плод;P03.1;65752
10065685;Роды осложненные аномалией предлежания плода;O64.9;65753
10065686;Роды осложненные аномалией предлежания плода, влияние на новорожденного;P03.1;65754
10065687;Роды осложненные аномалией предлежания плода, влияние на плод;P03.1;65755
10065688;Роды осложненные аномалией размеров необычно крупного плода;O66.2;65756
10065689;Роды осложненные аномалией размеров плода;O66.2;65757
10065690;Роды осложненные аномалией размеров плода, влияние на новорожденного;P03.1;65758
10065691;Роды осложненные аномалией размеров плода, влияние на плод;P03.1;65759
10065692;Роды осложненные аномалией родовой деятельности;O62.9;65760
10065693;Роды осложненные аномалией родовой деятельности уточненного типа;O62.8;65761
10065694;Роды осложненные аномалией сокращений матки;O62.9;65762
10065695;Роды осложненные аномалией таза плода;O65.9;65763
10065696;Роды осложненные аномалией таза плода уточненной;O65.8;65764
10065697;Роды осложненные аномалией таза плода, влияние на новорожденного;P03.1;65765
10065698;Роды осложненные аномалией таза плода, влияние на плод;P03.1;65766
10065699;Роды осложненные аномалией тазовых органов плода;O65.5;65767
10065700;Роды осложненные аномалией тазовых тканей плода;O65.5;65768
10065701;Роды осложненные аномалией шейки матки плода;O65.5;65769
10065702;Роды осложненные антеверсии шейки;O65.5;65770
10065703;Роды осложненные антеверсии шейки матки;O65.5;65771
10065704;Роды осложненные апоплексией;O99.4;65772
10065705;Роды осложненные атонией матки;O62.2;65773
10065706;Роды осложненные боковым предлежанием плаценты;O44.1;65774
10065707;Роды осложненные вагинальным разрывом с вовлечением мышц;O70.1;65775
10065708;Роды осложненные вагинальным разрывом с вовлечением мышц влагалища;O70.1;65776
10065709;Роды осложненные вагинальным разрывом с вовлечением мышц промежности;O70.1;65777
10065710;Роды осложненные вколачиванием плечиков;O66.0;65778
10065711;Роды осложненные вколоченным плечиком;O66.0;65779
10065712;Роды осложненные воздушной эмболией;O88.0;65780
10065713;Роды осложненные врожденной деформацией таза;O65.5;65781
10065714;Роды осложненные вторичной инерцией матки;O62.1;65782
10065715;Роды осложненные выворотом матки;O71.2;65783
10065716;Роды осложненные выпадением кисти плода;O32.2;65784
10065717;Роды осложненные выпадением матки;O34.5;65785
10065718;Роды осложненные выпадением ножки;O32.1;65786
10065719;Роды осложненные выпадением пуповины;O69.0;65787
10065720;Роды осложненные выпадением ручки плода;O32.2;65788
10065721;Роды осложненные выпадением стопы;O32.1;65789
10065722;Роды осложненные гематомой;O71.7;65790
10065723;Роды осложненные гематомой влагалища;O71.7;65791
10065724;Роды осложненные гематомой вульвы;O71.7;65792
10065725;Роды осложненные гематомой промежности;O71.7;65793
10065726;Роды осложненные гематомой пуповины;O69.5;65794
10065727;Роды осложненные гематомой седалищного выступа;O71.7;65795
10065728;Роды осложненные гидроцефалией плода;O66.3;65796
10065729;Роды осложненные гидроцефалией плода, влияние на новорожденного;P03.1;65797
10065730;Роды осложненные гидроцефалией плода, влияние на плод;P03.1;65798
10065731;Роды осложненные гипертензией;O16;65799
10065732;Роды осложненные гипертонической дисфункцией матки;O62.4;65800
10065733;Роды осложненные гипотонической вторичной дисфункцией матки;O62.1;65801
10065734;Роды осложненные гипотонической дистоцией шейки матки;O62.0;65802
10065735;Роды осложненные гипотонической дисфункцией матки;O62.2;65803
10065736;Роды осложненные гипотонической первичной дисфункцией матки;O62.0;65804
10065737;Роды осложненные глубоким поперечным стоянием головки;O64.0;65805
10065738;Роды осложненные деформацией костного таза;O65.5;65806
10065739;Роды осложненные деформацией таза;O65.5;65807
10065740;Роды осложненные деформацией тазовых органов;O65.5;65808
10065741;Роды осложненные деформацией тазовых тканей;O65.5;65809
10065742;Роды осложненные диспропорцией размеров плода и таза;O65.4;65810
10065743;Роды осложненные диспропорцией размеров плода и таза при нормально сформированном плоде;O65.4;65811
10065744;Роды осложненные диспропорцией размеров плода и таза, влияние на новорожденного;P03.1;65812
10065745;Роды осложненные диспропорцией размеров плода и таза, влияние на плод;P03.1;65813
10065746;Роды осложненные дистоцией шейки матки;O62.0;65814
10065747;Роды осложненные дистоции плечика;O66.0;65815
10065748;Роды осложненные дистрессом у матери;O75.0;65816
10065749;Роды осложненные дистрессом у плода;O68.9;65817
10065750;Роды осложненные дистрессом у плода подтвержденным биохимически;O68.3;65818
10065751;Роды осложненные дистрессом у плода подтвержденным ультразвуковым исследованием;O68.8;65819
10065752;Роды осложненные дистрессом у плода подтвержденным уточненными объективными данными;O68.8;65820
10065753;Роды осложненные дистрессом у плода подтвержденным электрокардиографически;O68.8;65821
10065754;Роды осложненные дисфункцией матки;O62.9;65822
10065755;Роды осложненные длительной родовой деятельностью;O63.9;65823
10065756;Роды осложненные длительной родовой деятельностью в первом периоде;O63.0;65824
10065757;Роды осложненные длительной родовой деятельностью во втором периоде;O63.1;65825
10065758;Роды осложненные жировой эмболией;O88.8;65826
10065759;Роды осложненные задержкой плаценты;O72.0;65827
10065760;Роды осложненные задержкой плаценты с кровотечением;O72.0;65828
10065761;Роды осложненные задержкой плодных оболочек;O72.2;65829
10065762;Роды осложненные задержкой плодных оболочек без кровотечения;O73.1;65830
10065763;Роды осложненные задержкой последа;O72.0;65831
10065764;Роды осложненные задержкой последа без кровотечения;O73.0;65832
10065765;Роды осложненные задержкой последа с кровотечением;O72.0;65833
10065766;Роды осложненные задержкой последа частичной;O72.2;65834
10065767;Роды осложненные задержкой последа частичной без кровотечения;O73.1;65835
